OBJECTID,KBIF ID,Facility Name,Facility Street Address,City Name,State,Zip Code ,County Name,Area Development District,NAICS Code,Building Sq Footage,Number of Employees,Average Trucks per Day,Truck Bays,Average Trains Week,Facility Length of Rail,Number of Rail Doors,Prior CHAF ID,Completed CHAF ID,Existing CHAF ID,Intermodal Connector Needs,Comments,Meets Criteria,Area Development District Name,County Number,District Number,District Name,RT Unique,Road Name,Route Prefix,Route Suffix,Route Label,Update Indicator,GUID_Str,End Active Date,GlobalID,last_edited_date,created_user,created_date,last_edited_user,MP,RT_NUMBER,x,y
1277,0,Sandusky Sales,1831 Campbellsville Road,Columbia,KY,42642,Adair,LCADD, ,170000,0,4,2,0,0,0, , , , ,NEW FEATURE ESTIMATED NUMBER OF TRUCKS,YES,LAKE CUMBERLAND ADD,1,8,Somerset,,,,,,2,CE7F4D00-2558-4FB0-925D-A794233A5968,,155e4605-a625-4423-9679-b07bd36fa622,6/29/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9495296.8404,4456779.5491
1278,4223,Kustom Blending LLC,3 Carbon Way,Walton,KY,41094-,Boone,NKADD,325910,80000,47,16,8,0,0,0, , , , ,LOCATED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,A2DCE803-8A8A-4C54-8DFA-A7A21D76B70A,,107aea4a-aaf3-4c66-923e-ea96b2392d95,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9418920.0078,4710732.8268
1279,0,Alstom Power,1500 Jamike Ln,Erlanger,KY, ,Boone,NKADD,22,187000,0,19,19,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,071BF4E6-B75B-4242-ABFF-A80EEDB3232A,,b8dac8bc-abb0-452a-8b1e-ea1b54341124,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9421031.2214,4728122.0006
1280,0,Lucas Cartage and Storage,120 Catalog Dr.,Elizabethtown,KY,42701,Hardin,LTADD,,260000,7,10,23,0,0,0, , , , ,NEW FEATURE. 23 Bays includes the facility to the south that is to be merged.,YES,LINCOLN TRAIL ADD,47,4,Elizabethtown,,,,,,2,BA636753-C95D-45A0-A02F-A83CD75C58DB,,b1a94e13-e123-4295-afb6-28440ab56816,6/10/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9555386.1,4531086.8
1281,462613104,iHerb Inc,1795 Worldwide Blvd,Hebron,KY,41048-8654,Boone,NKADD,493110,211000,169,50,40,0,0,0, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,ADFC6D41-6432-40D0-A64B-A84318152E2F,,6aa5effd-13a8-4ccd-b938-91fe85bba6b0,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9432058.324,4733951.4581
1282,1400,Crescent Paper Tube Co,7325 Industrial Rd,Florence,KY,41042-2911,Boone,NKADD,322219,110000,40,15,8,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,092D45D8-E3EB-449B-811F-A866DA6F3CD5,,ce911535-273a-453c-9650-4f22f5645ef2,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9420111.769,4718600.575
1283,2102,TMK IPSCO Tubulars Kentucky Inc,100 Steel Plant Road,Wilder,KY,41071-,Campbell,NKADD,"331110, 331210",305000,349,34,17,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,19,6,Covington,,,,,,2,714238BA-32F3-49AF-8525-A88E23F41899,,d1a13032-79e0-405f-aff9-fbd0bf4d4fae,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9405570.8948,4730606.7722
1284,8679,Great Lakes Minerals LLC,1200 Port Road,Wurtland,KY,41144-1635,Greenup,FIVCO,212319,137000,32,20,4,5,150,1, , , , ,5 RAIL HOPPERS NOT RECORDED ELSEWHERE,YES,FIVCO ADD,45,9,Flemingsburg,,,,,,2,5767B04A-A773-49CB-84B1-A89284446448,,73dc5a4a-b1ed-40e7-8024-2fc4e0c8a84e,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9213003.877,4657822.9661
1285,0,Geyn & Jack Trumbo,400 3rd Street,Simpsonville,KY,40067,Shelby,KIPDA, ,120000,0,14,7,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,106,5,Louisville,,,,,,2,0379EE2D-D8E2-4FD5-A20B-A8A6FAD7863E,,6b7834f8-d42d-49af-9425-b4afeb692e1c,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9501881.1244,4611335.0791
1286,6385,Woodford Reserve Distillery,7855 McCracken Pike,Versailles,KY,40383-9781,Woodford,BGADD,312140,70000,25,10,3,0,0,0, , , , ,MOVED FEATURE; BLDG_SQ_FT,YES,BLUEGRASS ADD,120,7,Lexington,,,,,,2,6FAF9838-6D1B-4161-99D7-A8E903C25EB2,,f6e2c2ba-5c43-4fc2-868d-7ad34142307c,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9440985.5086,4595392.3098
