Measure Names,Port Name,State,Year,Port Code,Measure Values
Exports,All,Florida,2018,*,"15,483,765"
Imports,All,Florida,2018,*,"37,187,129"
Total (tons),All,Florida,2019,*,"95,150,201"
Domestic,All,Florida,2019,*,"43,091,311"
Foreign Total,All,Florida,2019,*,"52,058,890"
Exports,All,Florida,2019,*,"15,156,379"
Imports,All,Florida,2019,*,"36,902,511"
Total (tons),All,Florida,2020,*,"174,119,794"
Domestic,All,Florida,2020,*,"77,170,648"
Foreign Total,All,Florida,2020,*,"96,949,146"
Exports,All,Florida,2020,*,"27,560,334"
Imports,All,Florida,2020,*,"69,388,812"
Total (tons),All,Florida,2021,*,"96,098,125"
Domestic,All,Florida,2021,*,"42,676,157"
Foreign Total,All,Florida,2021,*,"53,421,968"
Exports,All,Florida,2021,*,"13,536,016"
Imports,All,Florida,2021,*,"39,885,952"
Total (tons),All,Florida,2022,*,"97,295,603"
Domestic,All,Florida,2022,*,"44,804,775"
Foreign Total,All,Florida,2022,*,"52,490,828"
Exports,All,Florida,2022,*,"11,871,148"
Imports,All,Florida,2022,*,"40,619,680"
Total (tons),All,Georgia,2010,*,"37,119,456"
Domestic,All,Georgia,2010,*,"1,809,240"
Foreign Total,All,Georgia,2010,*,"35,310,216"
Exports,All,Georgia,2010,*,"16,907,381"
Imports,All,Georgia,2010,*,"18,402,835"
Total (tons),All,Georgia,2017,*,"42,353,367"
Domestic,All,Georgia,2017,*,"1,589,775"
Foreign Total,All,Georgia,2017,*,"40,763,592"
Exports,All,Georgia,2017,*,"18,607,877"
Imports,All,Georgia,2017,*,"22,155,715"
Total (tons),All,Georgia,2018,*,"43,777,884"
Domestic,All,Georgia,2018,*,"1,220,234"
Foreign Total,All,Georgia,2018,*,"42,557,650"
Exports,All,Georgia,2018,*,"18,905,511"
Imports,All,Georgia,2018,*,"23,652,139"
Total (tons),All,Georgia,2019,*,"44,270,157"
Domestic,All,Georgia,2019,*,"1,012,036"
Foreign Total,All,Georgia,2019,*,"43,258,121"
Exports,All,Georgia,2019,*,"18,642,083"
Imports,All,Georgia,2019,*,"24,616,038"
Total (tons),All,Georgia,2020,*,"92,023,172"
Domestic,All,Georgia,2020,*,"2,573,844"
Foreign Total,All,Georgia,2020,*,"89,449,328"
Exports,All,Georgia,2020,*,"38,141,080"
Imports,All,Georgia,2020,*,"51,308,248"
Total (tons),All,Georgia,2021,*,"49,948,456"
Domestic,All,Georgia,2021,*,"903,219"
Foreign Total,All,Georgia,2021,*,"49,045,237"
Exports,All,Georgia,2021,*,"20,444,041"
Imports,All,Georgia,2021,*,"28,601,196"
Total (tons),All,Georgia,2022,*,"56,563,880"
Domestic,All,Georgia,2022,*,"1,637,467"
Foreign Total,All,Georgia,2022,*,"54,926,413"
Exports,All,Georgia,2022,*,"21,093,495"
Imports,All,Georgia,2022,*,"33,832,918"
Total (tons),All,Hawaii,2010,*,"23,250,217"
Domestic,All,Hawaii,2010,*,"14,410,841"
Foreign Total,All,Hawaii,2010,*,"8,839,376"
Exports,All,Hawaii,2010,*,"506,446"
Imports,All,Hawaii,2010,*,"8,332,930"
Total (tons),All,Hawaii,2017,*,"34,556,605"
Domestic,All,Hawaii,2017,*,"25,513,096"
Foreign Total,All,Hawaii,2017,*,"9,043,509"
Exports,All,Hawaii,2017,*,"1,069,971"
Imports,All,Hawaii,2017,*,"7,973,538"
Total (tons),All,Hawaii,2018,*,"34,884,382"
Domestic,All,Hawaii,2018,*,"25,996,891"
Foreign Total,All,Hawaii,2018,*,"8,887,491"
Exports,All,Hawaii,2018,*,"994,675"
Imports,All,Hawaii,2018,*,"7,892,816"
Total (tons),All,Hawaii,2019,*,"32,887,716"
Domestic,All,Hawaii,2019,*,"25,955,767"
Foreign Total,All,Hawaii,2019,*,"6,931,949"
Exports,All,Hawaii,2019,*,"672,856"
Imports,All,Hawaii,2019,*,"6,259,093"
Total (tons),All,Hawaii,2020,*,"57,059,190"
Domestic,All,Hawaii,2020,*,"45,086,824"
Foreign Total,All,Hawaii,2020,*,"11,972,366"
Exports,All,Hawaii,2020,*,"744,872"
Imports,All,Hawaii,2020,*,"11,227,494"
Total (tons),All,Hawaii,2021,*,"32,613,765"
Domestic,All,Hawaii,2021,*,"26,418,040"
Foreign Total,All,Hawaii,2021,*,"6,195,725"
Exports,All,Hawaii,2021,*,"434,782"
Imports,All,Hawaii,2021,*,"5,760,943"
Total (tons),All,Hawaii,2022,*,"34,429,965"
Domestic,All,Hawaii,2022,*,"27,765,665"
Foreign Total,All,Hawaii,2022,*,"6,664,300"
Exports,All,Hawaii,2022,*,"248,253"
Imports,All,Hawaii,2022,*,"6,416,047"
Total (tons),All,Illinois,2010,*,"49,307,188"
Domestic,All,Illinois,2010,*,"46,154,924"
Foreign Total,All,Illinois,2010,*,"3,152,264"
Exports,All,Illinois,2010,*,"1,072,569"
Imports,All,Illinois,2010,*,"2,079,695"
Total (tons),All,Illinois,2017,*,"56,395,034"
Domestic,All,Illinois,2017,*,"54,739,684"
Foreign Total,All,Illinois,2017,*,"1,655,350"
Exports,All,Illinois,2017,*,"102,163"
Imports,All,Illinois,2017,*,"1,553,187"
Total (tons),All,Illinois,2018,*,"60,069,532"
Domestic,All,Illinois,2018,*,"58,380,246"
Foreign Total,All,Illinois,2018,*,"1,689,286"
Exports,All,Illinois,2018,*,"102,735"
Imports,All,Illinois,2018,*,"1,586,551"
Total (tons),All,Illinois,2019,*,"88,464,488"
Domestic,All,Illinois,2019,*,"86,805,600"
Foreign Total,All,Illinois,2019,*,"1,658,888"
Exports,All,Illinois,2019,*,"24,606"
Imports,All,Illinois,2019,*,"1,634,282"
Total (tons),All,Illinois,2020,*,"141,387,861"
Domestic,All,Illinois,2020,*,"137,642,959"
Foreign Total,All,Illinois,2020,*,"3,744,902"
Exports,All,Illinois,2020,*,"89,402"
Imports,All,Illinois,2020,*,"3,655,500"
Total (tons),All,Illinois,2021,*,"61,744,601"
Domestic,All,Illinois,2021,*,"59,331,457"
Foreign Total,All,Illinois,2021,*,"2,413,144"
Exports,All,Illinois,2021,*,0
Imports,All,Illinois,2021,*,"2,413,144"
Total (tons),All,Illinois,2022,*,"57,851,588"
Domestic,All,Illinois,2022,*,"55,351,126"
Foreign Total,All,Illinois,2022,*,"2,500,462"
Exports,All,Illinois,2022,*,233
Imports,All,Illinois,2022,*,"2,500,229"
Total (tons),All,Indiana,2010,*,"30,812,881"
Domestic,All,Indiana,2010,*,"29,674,382"
Foreign Total,All,Indiana,2010,*,"1,138,499"
Exports,All,Indiana,2010,*,"454,044"
Imports,All,Indiana,2010,*,"684,455"
Total (tons),All,Indiana,2017,*,"39,346,610"
Domestic,All,Indiana,2017,*,"38,170,811"
Foreign Total,All,Indiana,2017,*,"1,175,799"
Exports,All,Indiana,2017,*,"23,149"
Imports,All,Indiana,2017,*,"1,152,650"
Total (tons),All,Indiana,2018,*,"40,974,055"
Domestic,All,Indiana,2018,*,"39,742,664"
Foreign Total,All,Indiana,2018,*,"1,231,391"
Exports,All,Indiana,2018,*,
Imports,All,Indiana,2018,*,"1,231,391"
Total (tons),All,Indiana,2019,*,"40,295,544"
Domestic,All,Indiana,2019,*,"39,027,875"
Foreign Total,All,Indiana,2019,*,"1,267,669"
Exports,All,Indiana,2019,*,
Imports,All,Indiana,2019,*,"1,267,669"
Total (tons),All,Indiana,2020,*,"61,245,058"
Domestic,All,Indiana,2020,*,"60,134,086"
Foreign Total,All,Indiana,2020,*,"1,110,972"
Exports,All,Indiana,2020,*,"85,454"
Imports,All,Indiana,2020,*,"1,025,518"
Total (tons),All,Indiana,2021,,"54,435,731"
Domestic,All,Indiana,2021,,"53,776,350"
Foreign Total,All,Indiana,2021,,"659,381"
Exports,All,Indiana,2021,,0
Imports,All,Indiana,2021,,"659,381"
Total (tons),All,Indiana,2022,,"53,165,790"
Domestic,All,Indiana,2022,,"52,805,618"
Foreign Total,All,Indiana,2022,,"360,172"
Exports,All,Indiana,2022,,"70,879"
Imports,All,Indiana,2022,,"289,293"
Total (tons),All,Kentucky,2010,*,"7,218,493"
Domestic,All,Kentucky,2010,*,"7,218,493"
Foreign Total,All,Kentucky,2010,*,
Exports,All,Kentucky,2010,*,
Imports,All,Kentucky,2010,*,
Total (tons),All,Kentucky,2017,*,"57,220,245"
Domestic,All,Kentucky,2017,*,"57,220,245"
Foreign Total,All,Kentucky,2017,*,
Exports,All,Kentucky,2017,*,
Imports,All,Kentucky,2017,*,
Total (tons),All,Kentucky,2018,*,"52,502,764"
Domestic,All,Kentucky,2018,*,"52,502,764"
Foreign Total,All,Kentucky,2018,*,
Exports,All,Kentucky,2018,*,
Imports,All,Kentucky,2018,*,
Total (tons),All,Kentucky,2019,*,"88,293,837"
Domestic,All,Kentucky,2019,*,"88,293,837"
Foreign Total,All,Kentucky,2019,*,
Exports,All,Kentucky,2019,*,
Imports,All,Kentucky,2019,*,
Total (tons),All,Kentucky,2020,*,"165,898,678"
Domestic,All,Kentucky,2020,*,"165,898,678"
Foreign Total,All,Kentucky,2020,*,0
Exports,All,Kentucky,2020,*,0
Imports,All,Kentucky,2020,*,0
Total (tons),All,Kentucky,2021,*,"22,398,759"
Domestic,All,Kentucky,2021,*,"22,398,759"
Foreign Total,All,Kentucky,2021,*,0
Exports,All,Kentucky,2021,*,0
Imports,All,Kentucky,2021,*,0
Total (tons),All,Kentucky,2022,*,"21,666,425"
Domestic,All,Kentucky,2022,*,"21,666,425"
Foreign Total,All,Kentucky,2022,*,0
Exports,All,Kentucky,2022,*,0
Imports,All,Kentucky,2022,*,0
Total (tons),All,Louisiana,2010,*,"478,730,872"
Domestic,All,Louisiana,2010,*,"256,816,200"
Foreign Total,All,Louisiana,2010,*,"221,914,672"
Exports,All,Louisiana,2010,*,"122,608,111"
Imports,All,Louisiana,2010,*,"99,306,561"
Total (tons),All,Louisiana,2017,*,"572,524,028"
Domestic,All,Louisiana,2017,*,"310,913,263"
Foreign Total,All,Louisiana,2017,*,"261,610,765"
Exports,All,Louisiana,2017,*,"174,745,208"
Imports,All,Louisiana,2017,*,"86,865,557"
Total (tons),All,Louisiana,2018,*,"582,319,555"
Domestic,All,Louisiana,2018,*,"306,961,439"
Foreign Total,All,Louisiana,2018,*,"275,358,116"
Exports,All,Louisiana,2018,*,"188,902,413"
Imports,All,Louisiana,2018,*,"86,455,703"
Total (tons),All,Louisiana,2019,*,"529,675,882"
Domestic,All,Louisiana,2019,*,"289,891,271"
Foreign Total,All,Louisiana,2019,*,"239,784,611"
Exports,All,Louisiana,2019,*,"167,333,393"
Imports,All,Louisiana,2019,*,"72,451,218"
Total (tons),All,Louisiana,2020,*,"965,145,606"
Domestic,All,Louisiana,2020,*,"519,918,202"
Foreign Total,All,Louisiana,2020,*,"445,227,404"
Exports,All,Louisiana,2020,*,"322,969,032"
Imports,All,Louisiana,2020,*,"122,258,372"
Total (tons),All,Louisiana,2021,*,"503,232,331"
Domestic,All,Louisiana,2021,*,"272,620,050"
Foreign Total,All,Louisiana,2021,*,"230,612,281"
Exports,All,Louisiana,2021,*,"164,087,749"
Imports,All,Louisiana,2021,*,"66,524,532"
Total (tons),All,Louisiana,2022,*,"519,369,699"
Domestic,All,Louisiana,2022,*,"281,750,599"
Foreign Total,All,Louisiana,2022,*,"237,619,100"
Exports,All,Louisiana,2022,*,"174,868,399"
Imports,All,Louisiana,2022,*,"62,750,701"
Total (tons),All,Maine,2010,*,"20,144,989"
Domestic,All,Maine,2010,*,"2,032,130"
Foreign Total,All,Maine,2010,*,"18,112,859"
Exports,All,Maine,2010,*,"98,612"
Imports,All,Maine,2010,*,"18,014,247"
Total (tons),All,Maine,2017,*,"6,340,526"
Domestic,All,Maine,2017,*,"1,025,968"
Foreign Total,All,Maine,2017,*,"5,314,558"
Exports,All,Maine,2017,*,"51,553"
Imports,All,Maine,2017,*,"5,263,005"
Total (tons),All,Maine,2018,*,"6,409,914"
Domestic,All,Maine,2018,*,"1,638,057"
Foreign Total,All,Maine,2018,*,"4,771,857"
Exports,All,Maine,2018,*,"67,525"
Imports,All,Maine,2018,*,"4,704,332"
Total (tons),All,Maine,2019,*,"6,117,430"
Domestic,All,Maine,2019,*,"1,212,295"
Foreign Total,All,Maine,2019,*,"4,905,135"
Exports,All,Maine,2019,*,"55,689"
Imports,All,Maine,2019,*,"4,849,446"
Total (tons),All,Maine,2020,*,"11,989,714"
Domestic,All,Maine,2020,*,"1,418,326"
Foreign Total,All,Maine,2020,*,"10,571,388"
Exports,All,Maine,2020,*,"36,938"
Imports,All,Maine,2020,*,"10,534,450"
Total (tons),All,Maine,2021,*,"5,516,271"
Domestic,All,Maine,2021,*,"548,567"
Foreign Total,All,Maine,2021,*,"4,967,704"
Exports,All,Maine,2021,*,"27,077"
Imports,All,Maine,2021,*,"4,940,627"
Total (tons),All,Maine,2022,*,"5,647,600"
Domestic,All,Maine,2022,*,"612,779"
Foreign Total,All,Maine,2022,*,"5,034,821"
Exports,All,Maine,2022,*,0
Imports,All,Maine,2022,*,"5,034,821"
Total (tons),All,Maryland,2010,C0700,"39,629,187"
Domestic,All,Maryland,2010,C0700,"9,462,226"
Foreign Total,All,Maryland,2010,C0700,"30,166,961"
Exports,All,Maryland,2010,C0700,"16,650,882"
Imports,All,Maryland,2010,C0700,"13,516,079"
Total (tons),All,Maryland,2017,C0700,"45,474,946"
Domestic,All,Maryland,2017,C0700,"6,538,589"
Foreign Total,All,Maryland,2017,C0700,"38,936,357"
Exports,All,Maryland,2017,C0700,"25,283,272"
Imports,All,Maryland,2017,C0700,"13,653,085"
Total (tons),All,Maryland,2018,C0700,"44,778,259"
Domestic,All,Maryland,2018,C0700,"7,271,044"
Foreign Total,All,Maryland,2018,C0700,"37,507,215"
Exports,All,Maryland,2018,C0700,"24,061,773"
Imports,All,Maryland,2018,C0700,"13,445,442"
Total (tons),All,Maryland,2019,C0700,"44,243,241"
Domestic,All,Maryland,2019,C0700,"6,612,807"
Foreign Total,All,Maryland,2019,C0700,"37,630,434"
Exports,All,Maryland,2019,C0700,"24,002,476"
Imports,All,Maryland,2019,C0700,"13,627,958"
Total (tons),All,Maryland,2020,C0700,"70,404,054"
Domestic,All,Maryland,2020,C0700,"8,423,694"
Foreign Total,All,Maryland,2020,C0700,"61,980,360"
Exports,All,Maryland,2020,C0700,"36,106,084"
Imports,All,Maryland,2020,C0700,"25,874,276"
Total (tons),All,Maryland,2021,C0700,"37,439,579"
Domestic,All,Maryland,2021,C0700,"4,469,775"
Foreign Total,All,Maryland,2021,C0700,"32,969,804"
Exports,All,Maryland,2021,C0700,"19,363,843"
Imports,All,Maryland,2021,C0700,"13,605,961"
Total (tons),All,Maryland,2022,C0700,"40,602,248"
Domestic,All,Maryland,2022,C0700,"4,174,818"
Foreign Total,All,Maryland,2022,C0700,"36,427,430"
Exports,All,Maryland,2022,C0700,"20,915,048"
Imports,All,Maryland,2022,C0700,"15,512,382"
Total (tons),All,Massachusetts,2010,*,"21,608,437"
Domestic,All,Massachusetts,2010,*,"8,062,982"
Foreign Total,All,Massachusetts,2010,*,"13,545,455"
Exports,All,Massachusetts,2010,*,"1,231,173"
Imports,All,Massachusetts,2010,*,"12,314,282"
Total (tons),All,Massachusetts,2017,C0149,"16,618,977"
Domestic,All,Massachusetts,2017,C0149,"4,245,127"
Foreign Total,All,Massachusetts,2017,C0149,"12,373,850"
Exports,All,Massachusetts,2017,C0149,"1,787,740"
Imports,All,Massachusetts,2017,C0149,"10,586,110"
Total (tons),All,Massachusetts,2018,C0149,"16,163,552"
Domestic,All,Massachusetts,2018,C0149,"5,188,933"
Foreign Total,All,Massachusetts,2018,C0149,"10,974,619"
Exports,All,Massachusetts,2018,C0149,"1,681,962"
Imports,All,Massachusetts,2018,C0149,"9,292,657"
Total (tons),All,Massachusetts,2019,C0149,"15,986,250"
Domestic,All,Massachusetts,2019,C0149,"5,129,384"
Foreign Total,All,Massachusetts,2019,C0149,"10,856,866"
Exports,All,Massachusetts,2019,C0149,"1,748,627"
Imports,All,Massachusetts,2019,C0149,"9,108,239"
Total (tons),All,Massachusetts,2020,C0149,"26,645,164"
Domestic,All,Massachusetts,2020,C0149,"6,799,556"
Foreign Total,All,Massachusetts,2020,C0149,"19,845,608"
Exports,All,Massachusetts,2020,C0149,"3,225,406"
Imports,All,Massachusetts,2020,C0149,"16,620,202"
Total (tons),All,Massachusetts,2021,C0149,"13,308,532"
Domestic,All,Massachusetts,2021,C0149,"3,132,842"
Foreign Total,All,Massachusetts,2021,C0149,"10,175,690"
Exports,All,Massachusetts,2021,C0149,"1,290,018"
Imports,All,Massachusetts,2021,C0149,"8,885,672"
Total (tons),All,Massachusetts,2022,C0149,"4,455,140"
Domestic,All,Massachusetts,2022,C0149,"1,950,744"
Foreign Total,All,Massachusetts,2022,C0149,"2,504,396"
Exports,All,Massachusetts,2022,C0149,"390,612"
Imports,All,Massachusetts,2022,C0149,"2,113,784"
Total (tons),All,Michigan,2010,*,"62,084,448"
Domestic,All,Michigan,2010,*,"54,103,740"
Foreign Total,All,Michigan,2010,*,"7,980,708"
Exports,All,Michigan,2010,*,"4,953,086"
Imports,All,Michigan,2010,*,"3,027,622"
Total (tons),All,Michigan,2017,*,"55,774,251"
Domestic,All,Michigan,2017,*,"49,335,957"
Foreign Total,All,Michigan,2017,*,"6,438,294"
Exports,All,Michigan,2017,*,"2,951,772"
Imports,All,Michigan,2017,*,"3,486,522"
Total (tons),All,Michigan,2018,*,"54,500,538"
Domestic,All,Michigan,2018,*,"47,988,402"
Foreign Total,All,Michigan,2018,*,"6,512,136"
Exports,All,Michigan,2018,*,"2,221,768"
Imports,All,Michigan,2018,*,"4,290,368"
Total (tons),All,Michigan,2019,*,"50,623,251"
Domestic,All,Michigan,2019,*,"43,174,574"
Foreign Total,All,Michigan,2019,*,"7,448,677"
Exports,All,Michigan,2019,*,"2,794,225"
Imports,All,Michigan,2019,*,"4,654,452"
Total (tons),All,Michigan,2020,*,"77,093,594"
Domestic,All,Michigan,2020,*,"66,538,140"
Foreign Total,All,Michigan,2020,*,"10,555,454"
Exports,All,Michigan,2020,*,"2,120,058"
Imports,All,Michigan,2020,*,"8,435,396"
Total (tons),All,Michigan,2021,*,"40,560,317"
Domestic,All,Michigan,2021,*,"37,296,741"
Foreign Total,All,Michigan,2021,*,"3,263,576"
Exports,All,Michigan,2021,*,"521,378"
Imports,All,Michigan,2021,*,"2,742,198"
Total (tons),All,Michigan,2022,*,"40,233,788"
Domestic,All,Michigan,2022,*,"35,535,497"
Foreign Total,All,Michigan,2022,*,"4,698,291"
Exports,All,Michigan,2022,*,"914,736"
Imports,All,Michigan,2022,*,"3,783,555"
Total (tons),All,Minnesota,2010,*,"61,420,101"
Domestic,All,Minnesota,2010,*,"51,220,554"
Foreign Total,All,Minnesota,2010,*,"10,199,547"
Exports,All,Minnesota,2010,*,"9,850,883"
Imports,All,Minnesota,2010,*,"348,664"
Total (tons),All,Minnesota,2017,*,"64,879,175"
Domestic,All,Minnesota,2017,*,"53,987,763"
Foreign Total,All,Minnesota,2017,*,"10,891,412"
Exports,All,Minnesota,2017,*,"10,295,916"
Imports,All,Minnesota,2017,*,"595,496"
Total (tons),All,Minnesota,2018,*,"64,372,840"
Domestic,All,Minnesota,2018,*,"52,239,371"
Foreign Total,All,Minnesota,2018,*,"12,133,469"
Exports,All,Minnesota,2018,*,"11,367,984"
Imports,All,Minnesota,2018,*,"765,485"
Total (tons),All,Minnesota,2019,*,"61,238,093"
Domestic,All,Minnesota,2019,*,"50,288,054"
Foreign Total,All,Minnesota,2019,*,"10,950,039"
Exports,All,Minnesota,2019,*,"9,991,588"
Imports,All,Minnesota,2019,*,"958,451"
Total (tons),All,Minnesota,2020,*,"95,395,612"
Domestic,All,Minnesota,2020,*,"79,842,732"
Foreign Total,All,Minnesota,2020,*,"15,552,880"
Exports,All,Minnesota,2020,*,"14,167,328"
Imports,All,Minnesota,2020,*,"1,385,552"
Total (tons),All,Minnesota,2021,*,"26,065,628"
Domestic,All,Minnesota,2021,*,"20,851,290"
Foreign Total,All,Minnesota,2021,*,"5,214,338"
Exports,All,Minnesota,2021,*,"5,214,338"
Imports,All,Minnesota,2021,*,0
Total (tons),All,Minnesota,2022,*,"47,751,275"
Domestic,All,Minnesota,2022,*,"38,266,248"
Foreign Total,All,Minnesota,2022,*,"9,485,027"
Exports,All,Minnesota,2022,*,"8,598,638"
Imports,All,Minnesota,2022,*,"886,389"
Total (tons),All,Mississippi,2010,*,"50,013,824"
Domestic,All,Mississippi,2010,*,"21,396,493"
Foreign Total,All,Mississippi,2010,*,"28,617,331"
Exports,All,Mississippi,2010,*,"7,312,735"
Imports,All,Mississippi,2010,*,"21,304,596"
Total (tons),All,Mississippi,2017,*,"35,907,175"
Domestic,All,Mississippi,2017,*,"16,611,433"
Foreign Total,All,Mississippi,2017,*,"19,295,742"
Exports,All,Mississippi,2017,*,"8,454,429"
Imports,All,Mississippi,2017,*,"10,841,313"
Total (tons),All,Mississippi,2018,*,"37,429,939"
Domestic,All,Mississippi,2018,*,"17,882,462"
Foreign Total,All,Mississippi,2018,*,"19,547,477"
Exports,All,Mississippi,2018,*,"9,339,870"
Imports,All,Mississippi,2018,*,"10,207,607"
Total (tons),All,Mississippi,2019,*,"35,400,653"
Domestic,All,Mississippi,2019,*,"16,455,453"
Foreign Total,All,Mississippi,2019,*,"18,945,200"
Exports,All,Mississippi,2019,*,"9,190,667"
Imports,All,Mississippi,2019,*,"9,754,533"
Total (tons),All,Mississippi,2020,*,"66,652,568"
Domestic,All,Mississippi,2020,*,"33,852,030"
Foreign Total,All,Mississippi,2020,*,"32,800,538"
Exports,All,Mississippi,2020,*,"15,710,082"
Imports,All,Mississippi,2020,*,"17,090,456"
Total (tons),All,Mississippi,2021,*,"33,052,690"
Domestic,All,Mississippi,2021,*,"17,053,341"
Foreign Total,All,Mississippi,2021,*,"15,999,349"
Exports,All,Mississippi,2021,*,"7,495,468"
Imports,All,Mississippi,2021,*,"8,503,881"
Total (tons),All,Mississippi,2022,*,"33,150,741"
Domestic,All,Mississippi,2022,*,"18,484,530"
Foreign Total,All,Mississippi,2022,*,"14,666,211"
Exports,All,Mississippi,2022,*,"7,307,196"
Imports,All,Mississippi,2022,*,"7,359,015"
Total (tons),All,Missouri,2010,*,"33,334,486"
Domestic,All,Missouri,2010,*,"33,334,486"
Foreign Total,All,Missouri,2010,*,
Exports,All,Missouri,2010,*,
Imports,All,Missouri,2010,*,
Total (tons),All,Missouri,2017,*,"37,973,411"
Domestic,All,Missouri,2017,*,"37,973,411"
Foreign Total,All,Missouri,2017,*,
Exports,All,Missouri,2017,*,
Imports,All,Missouri,2017,*,
Total (tons),All,Missouri,2018,*,"42,114,670"
Domestic,All,Missouri,2018,*,"42,114,670"
Foreign Total,All,Missouri,2018,*,
Exports,All,Missouri,2018,*,
Imports,All,Missouri,2018,*,
Total (tons),All,Missouri,2019,*,"37,491,160"
Domestic,All,Missouri,2019,*,"37,491,160"
Foreign Total,All,Missouri,2019,*,
Exports,All,Missouri,2019,*,
Imports,All,Missouri,2019,*,
Total (tons),All,Missouri,2020,*,"115,009,332"
Domestic,All,Missouri,2020,*,"115,009,332"
Foreign Total,All,Missouri,2020,*,0
Exports,All,Missouri,2020,*,0
Imports,All,Missouri,2020,*,0
Total (tons),All,Missouri,2021,*,"48,893,752"
Domestic,All,Missouri,2021,*,"48,893,752"
Foreign Total,All,Missouri,2021,*,0
Exports,All,Missouri,2021,*,0
Imports,All,Missouri,2021,*,0
Total (tons),All,Missouri,2022,*,"32,456,986"
Domestic,All,Missouri,2022,*,"32,456,986"
Foreign Total,All,Missouri,2022,*,0
Exports,All,Missouri,2022,*,0
Imports,All,Missouri,2022,*,0
Total (tons),All,New Hampshire,2010,C0135,"2,963,931"
Domestic,All,New Hampshire,2010,C0135,"553,927"
Foreign Total,All,New Hampshire,2010,C0135,"2,410,004"
Exports,All,New Hampshire,2010,C0135,"133,335"
Imports,All,New Hampshire,2010,C0135,"2,276,669"
Total (tons),All,New Hampshire,2017,C0135,"2,627,091"
Domestic,All,New Hampshire,2017,C0135,"386,128"
Foreign Total,All,New Hampshire,2017,C0135,"2,240,963"
Exports,All,New Hampshire,2017,C0135,"1,031"
Imports,All,New Hampshire,2017,C0135,"2,239,932"
Total (tons),All,New Hampshire,2018,C0135,"2,868,572"
Domestic,All,New Hampshire,2018,C0135,"689,110"
Foreign Total,All,New Hampshire,2018,C0135,"2,179,462"
Exports,All,New Hampshire,2018,C0135,
Imports,All,New Hampshire,2018,C0135,"2,179,462"
Total (tons),All,New Hampshire,2019,C0135,"2,630,642"
Domestic,All,New Hampshire,2019,C0135,"443,686"
Foreign Total,All,New Hampshire,2019,C0135,"2,186,956"
Exports,All,New Hampshire,2019,C0135,"33,401"
Imports,All,New Hampshire,2019,C0135,"2,153,555"
Total (tons),All,New Hampshire,2020,C0135,"5,474,538"
Domestic,All,New Hampshire,2020,C0135,"409,702"
Foreign Total,All,New Hampshire,2020,C0135,"5,064,836"
Exports,All,New Hampshire,2020,C0135,"18,740"
Imports,All,New Hampshire,2020,C0135,"5,046,096"
Total (tons),All,New Hampshire,2021,C0135,"1,228,210"
Domestic,All,New Hampshire,2021,C0135,"91,244"
Foreign Total,All,New Hampshire,2021,C0135,"1,136,966"
Exports,All,New Hampshire,2021,C0135,0
Imports,All,New Hampshire,2021,C0135,"1,136,966"
Total (tons),All,New Hampshire,2022,C0135,"1,927,081"
Domestic,All,New Hampshire,2022,C0135,"183,918"
Foreign Total,All,New Hampshire,2022,C0135,"1,743,163"
Exports,All,New Hampshire,2022,C0135,0
Imports,All,New Hampshire,2022,C0135,"1,743,163"
Total (tons),All,New Jersey,2010,*,"162,066,389"
Domestic,All,New Jersey,2010,*,"64,890,091"
Foreign Total,All,New Jersey,2010,*,"97,176,298"
Exports,All,New Jersey,2010,*,"21,151,863"
Imports,All,New Jersey,2010,*,"76,024,435"
Total (tons),All,New Jersey,2017,*,"160,971,604"
Domestic,All,New Jersey,2017,*,"55,618,105"
Foreign Total,All,New Jersey,2017,*,"105,353,499"
Exports,All,New Jersey,2017,*,"21,702,522"
Imports,All,New Jersey,2017,*,"83,650,977"
Total (tons),All,New Jersey,2018,*,"161,904,121"
Domestic,All,New Jersey,2018,*,"52,873,739"
Foreign Total,All,New Jersey,2018,*,"109,030,382"
Exports,All,New Jersey,2018,*,"19,745,925"
Imports,All,New Jersey,2018,*,"89,284,457"
Total (tons),All,New Jersey,2019,*,"160,357,250"
Domestic,All,New Jersey,2019,*,"54,164,020"
Foreign Total,All,New Jersey,2019,*,"106,193,230"
Exports,All,New Jersey,2019,*,"18,961,267"
Imports,All,New Jersey,2019,*,"87,231,963"
Total (tons),All,New Jersey,2020,*,"164,206,088"
Domestic,All,New Jersey,2020,*,"56,854,255"
Foreign Total,All,New Jersey,2020,*,"107,351,833"
Exports,All,New Jersey,2020,*,"16,452,185"
Imports,All,New Jersey,2020,*,"90,899,648"
Total (tons),All,New Jersey,2021,C0398,"162,539,647"
Domestic,All,New Jersey,2021,C0398,"49,134,683"
Foreign Total,All,New Jersey,2021,C0398,"113,404,964"
Exports,All,New Jersey,2021,C0398,"16,527,044"
Imports,All,New Jersey,2021,C0398,"96,877,920"
Total (tons),All,New Jersey,2022,,"20,129,854"
Domestic,All,New Jersey,2022,,"8,188,216"
Foreign Total,All,New Jersey,2022,,"11,941,638"
Exports,All,New Jersey,2022,,"998,809"
Imports,All,New Jersey,2022,,"10,942,829"
Total (tons),All,New York,2010,*,"149,297,633"
Domestic,All,New York,2010,*,"63,785,113"
Foreign Total,All,New York,2010,*,"85,512,520"
Exports,All,New York,2010,*,"20,757,527"
Imports,All,New York,2010,*,"64,754,993"
