Measure Names,Port Name,State,Year,Port Code,Measure Values
Imports,Ashtabula,Ohio,2010,L3219,"1,313,088"
Total (tons),Ashtabula,Ohio,2017,L3219,"4,351,591"
Domestic,Ashtabula,Ohio,2017,L3219,"3,826,514"
Foreign Total,Ashtabula,Ohio,2017,L3219,"525,077"
Exports,Ashtabula,Ohio,2017,L3219,"163,400"
Imports,Ashtabula,Ohio,2017,L3219,"361,677"
Total (tons),Ashtabula,Ohio,2018,L3219,"4,254,537"
Domestic,Ashtabula,Ohio,2018,L3219,"3,808,283"
Foreign Total,Ashtabula,Ohio,2018,L3219,"446,254"
Exports,Ashtabula,Ohio,2018,L3219,
Imports,Ashtabula,Ohio,2018,L3219,"446,254"
Total (tons),Ashtabula,Ohio,2019,L3219,"5,121,134"
Domestic,Ashtabula,Ohio,2019,L3219,"4,481,994"
Foreign Total,Ashtabula,Ohio,2019,L3219,"639,140"
Exports,Ashtabula,Ohio,2019,L3219,"185,246"
Imports,Ashtabula,Ohio,2019,L3219,"453,894"
Total (tons),Ashtabula,Ohio,2020,L3219,"3,706,487"
Domestic,Ashtabula,Ohio,2020,L3219,"3,157,394"
Foreign Total,Ashtabula,Ohio,2020,L3219,"549,093"
Exports,Ashtabula,Ohio,2020,L3219,"130,664"
Imports,Ashtabula,Ohio,2020,L3219,"418,429"
Total (tons),Ashtabula,Ohio,2021,L3219,"1,603,644"
Domestic,Ashtabula,Ohio,2021,L3219,"1,118,432"
Foreign Total,Ashtabula,Ohio,2021,L3219,"485,212"
Exports,Ashtabula,Ohio,2021,L3219,"66,842"
Imports,Ashtabula,Ohio,2021,L3219,"418,370"
Total (tons),Ashtabula Port Authority,Ohio,2020,L3219,"3,706,487"
Domestic,Ashtabula Port Authority,Ohio,2020,L3219,"3,157,394"
Foreign Total,Ashtabula Port Authority,Ohio,2020,L3219,"549,093"
Exports,Ashtabula Port Authority,Ohio,2020,L3219,"130,664"
Imports,Ashtabula Port Authority,Ohio,2020,L3219,"418,429"
Total (tons),Ashtabula Port Authority,Ohio,2022,L3219,"1,145,145"
Domestic,Ashtabula Port Authority,Ohio,2022,L3219,"665,263"
Foreign Total,Ashtabula Port Authority,Ohio,2022,L3219,"479,882"
Exports,Ashtabula Port Authority,Ohio,2022,L3219,"63,060"
Imports,Ashtabula Port Authority,Ohio,2022,L3219,"416,822"
Total (tons),Baltimore,Maryland,2010,C0700,"39,629,187"
Domestic,Baltimore,Maryland,2010,C0700,"9,462,226"
Foreign Total,Baltimore,Maryland,2010,C0700,"30,166,961"
Exports,Baltimore,Maryland,2010,C0700,"16,650,882"
Imports,Baltimore,Maryland,2010,C0700,"13,516,079"
Total (tons),Baltimore,Maryland,2017,C0700,"45,474,946"
Domestic,Baltimore,Maryland,2017,C0700,"6,538,589"
Foreign Total,Baltimore,Maryland,2017,C0700,"38,936,357"
Exports,Baltimore,Maryland,2017,C0700,"25,283,272"
Imports,Baltimore,Maryland,2017,C0700,"13,653,085"
Total (tons),Baltimore,Maryland,2018,C0700,"44,778,259"
Domestic,Baltimore,Maryland,2018,C0700,"7,271,044"
Foreign Total,Baltimore,Maryland,2018,C0700,"37,507,215"
Exports,Baltimore,Maryland,2018,C0700,"24,061,773"
Imports,Baltimore,Maryland,2018,C0700,"13,445,442"
Total (tons),Baltimore,Maryland,2019,C0700,"44,243,241"
Domestic,Baltimore,Maryland,2019,C0700,"6,612,807"
Foreign Total,Baltimore,Maryland,2019,C0700,"37,630,434"
Exports,Baltimore,Maryland,2019,C0700,"24,002,476"
Imports,Baltimore,Maryland,2019,C0700,"13,627,958"
Total (tons),Baltimore,Maryland,2020,C0700,"70,404,054"
Domestic,Baltimore,Maryland,2020,C0700,"8,423,694"
Foreign Total,Baltimore,Maryland,2020,C0700,"61,980,360"
Exports,Baltimore,Maryland,2020,C0700,"36,106,084"
Imports,Baltimore,Maryland,2020,C0700,"25,874,276"
Total (tons),Baltimore,Maryland,2021,C0700,"37,439,579"
Domestic,Baltimore,Maryland,2021,C0700,"4,469,775"
Foreign Total,Baltimore,Maryland,2021,C0700,"32,969,804"
Exports,Baltimore,Maryland,2021,C0700,"19,363,843"
Imports,Baltimore,Maryland,2021,C0700,"13,605,961"
Total (tons),Baltimore,Maryland,2022,C0700,"40,602,248"
Domestic,Baltimore,Maryland,2022,C0700,"4,174,818"
Foreign Total,Baltimore,Maryland,2022,C0700,"36,427,430"
Exports,Baltimore,Maryland,2022,C0700,"20,915,048"
Imports,Baltimore,Maryland,2022,C0700,"15,512,382"
Total (tons),Baton Rouge,Louisiana,2010,C2252,"55,536,987"
Domestic,Baton Rouge,Louisiana,2010,C2252,"34,768,822"
Foreign Total,Baton Rouge,Louisiana,2010,C2252,"20,768,165"
Exports,Baton Rouge,Louisiana,2010,C2252,"6,642,115"
Imports,Baton Rouge,Louisiana,2010,C2252,"14,126,050"
Total (tons),Baton Rouge,Louisiana,2017,C2252,"77,013,042"
Domestic,Baton Rouge,Louisiana,2017,C2252,"45,671,599"
Foreign Total,Baton Rouge,Louisiana,2017,C2252,"31,341,443"
Exports,Baton Rouge,Louisiana,2017,C2252,"25,618,495"
Imports,Baton Rouge,Louisiana,2017,C2252,"5,722,948"
Total (tons),Baton Rouge,Louisiana,2018,C2252,"82,234,811"
Domestic,Baton Rouge,Louisiana,2018,C2252,"47,150,094"
Foreign Total,Baton Rouge,Louisiana,2018,C2252,"35,084,717"
Exports,Baton Rouge,Louisiana,2018,C2252,"28,800,305"
Imports,Baton Rouge,Louisiana,2018,C2252,"6,284,412"
Total (tons),Baton Rouge,Louisiana,2019,C2252,"73,400,104"
Domestic,Baton Rouge,Louisiana,2019,C2252,"43,365,873"
Foreign Total,Baton Rouge,Louisiana,2019,C2252,"30,034,231"
Exports,Baton Rouge,Louisiana,2019,C2252,"23,141,359"
Imports,Baton Rouge,Louisiana,2019,C2252,"6,892,872"
Total (tons),Baton Rouge,Louisiana,2020,C2252,"71,686,872"
Domestic,Baton Rouge,Louisiana,2020,C2252,"43,420,458"
Foreign Total,Baton Rouge,Louisiana,2020,C2252,"28,266,414"
Exports,Baton Rouge,Louisiana,2020,C2252,"22,603,587"
Imports,Baton Rouge,Louisiana,2020,C2252,"5,662,827"
Total (tons),Baton Rouge,Louisiana,2021,C2252,"71,222,675"
Domestic,Baton Rouge,Louisiana,2021,C2252,"44,464,034"
Foreign Total,Baton Rouge,Louisiana,2021,C2252,"26,758,641"
Exports,Baton Rouge,Louisiana,2021,C2252,"19,822,047"
Imports,Baton Rouge,Louisiana,2021,C2252,"6,936,594"
Total (tons),Beaumont,Texas,2010,C2395,"76,958,592"
Domestic,Beaumont,Texas,2010,C2395,"25,176,606"
Foreign Total,Beaumont,Texas,2010,C2395,"51,781,986"
Exports,Beaumont,Texas,2010,C2395,"7,471,992"
Imports,Beaumont,Texas,2010,C2395,"44,309,994"
Total (tons),Beaumont,Texas,2017,C2395,"89,437,326"
Domestic,Beaumont,Texas,2017,C2395,"35,743,500"
Foreign Total,Beaumont,Texas,2017,C2395,"53,693,826"
Exports,Beaumont,Texas,2017,C2395,"26,159,344"
Imports,Beaumont,Texas,2017,C2395,"27,534,482"
Total (tons),Beaumont,Texas,2018,C2395,"100,244,231"
Domestic,Beaumont,Texas,2018,C2395,"38,397,574"
Foreign Total,Beaumont,Texas,2018,C2395,"61,846,657"
Exports,Beaumont,Texas,2018,C2395,"34,229,216"
Imports,Beaumont,Texas,2018,C2395,"27,617,441"
Total (tons),Beaumont,Texas,2019,C2395,"101,089,801"
Domestic,Beaumont,Texas,2019,C2395,"36,912,920"
Foreign Total,Beaumont,Texas,2019,C2395,"64,176,881"
Exports,Beaumont,Texas,2019,C2395,"47,676,586"
Imports,Beaumont,Texas,2019,C2395,"16,500,295"
Total (tons),Beaumont,Texas,2020,C2395,"141,134,772"
Domestic,Beaumont,Texas,2020,C2395,"49,571,522"
Foreign Total,Beaumont,Texas,2020,C2395,"91,563,250"
Exports,Beaumont,Texas,2020,C2395,"59,221,330"
Imports,Beaumont,Texas,2020,C2395,"32,341,920"
Total (tons),Beaumont,Texas,2021,C2395,"74,555,488"
Domestic,Beaumont,Texas,2021,C2395,"18,238,925"
Foreign Total,Beaumont,Texas,2021,C2395,"56,316,563"
Exports,Beaumont,Texas,2021,C2395,"39,960,834"
Imports,Beaumont,Texas,2021,C2395,"16,355,729"
Total (tons),Beaumont,Texas,2022,C2395,"74,342,746"
Domestic,Beaumont,Texas,2022,C2395,"21,301,018"
Foreign Total,Beaumont,Texas,2022,C2395,"53,041,728"
Exports,Beaumont,Texas,2022,C2395,"39,293,359"
Imports,Beaumont,Texas,2022,C2395,"13,748,369"
