Measures,State,Year of Year,Values
Highway vehicle-miles traveled (millions),Vermont,2010,"7,247.55584"
Highway vehicle-miles traveled (millions),Vermont,2015,"7,313.841852"
Highway vehicle-miles traveled (millions),Vermont,2019,"7,345.626922"
Highway vehicle-miles traveled (millions),Vermont,2018,"7,346.350178"
Highway vehicle-miles traveled (millions),Vermont,2016,"7,382"
Highway vehicle-miles traveled (millions),Vermont,2017,"7,424.419886"
Highway vehicle-miles traveled (millions),Virginia,2020,"76,110.26923"
Highway vehicle-miles traveled (millions),Virginia,2021,"80,102.4661"
Highway vehicle-miles traveled (millions),Virginia,2022,"82,083.23304"
Highway vehicle-miles traveled (millions),Virginia,2010,"82,170.61428"
Highway vehicle-miles traveled (millions),Virginia,2015,"82,624.52764"
Highway vehicle-miles traveled (millions),Virginia,2016,"84,463"
Highway vehicle-miles traveled (millions),Virginia,2017,"85,262.94495"
Highway vehicle-miles traveled (millions),Virginia,2018,"85,336.10206"
Highway vehicle-miles traveled (millions),Virginia,2019,"85,432.48415"
Highway vehicle-miles traveled (millions),Virginia,2023,"87,730.19184"
Highway vehicle-miles traveled (millions),Virginia,2024,"88,511.12482"
Highway vehicle-miles traveled (millions),Washington,2020,"53,658.2413"
Highway vehicle-miles traveled (millions),Washington,2010,"57,190.44282"
Highway vehicle-miles traveled (millions),Washington,2021,"57,796.59611"
Highway vehicle-miles traveled (millions),Washington,2022,"58,482.75528"
Highway vehicle-miles traveled (millions),Washington,2015,"59,652.50424"
Highway vehicle-miles traveled (millions),Washington,2023,"59,803.78394"
Highway vehicle-miles traveled (millions),Washington,2024,"60,555.12222"
Highway vehicle-miles traveled (millions),Washington,2016,"61,018"
Highway vehicle-miles traveled (millions),Washington,2017,"61,419.92486"
Highway vehicle-miles traveled (millions),Washington,2018,"62,366.65613"
Highway vehicle-miles traveled (millions),Washington,2019,"62,529.63832"
Highway vehicle-miles traveled (millions),West Virginia,2022,"15,312.40753"
Highway vehicle-miles traveled (millions),West Virginia,2023,"15,962.39025"
Highway vehicle-miles traveled (millions),West Virginia,2020,"16,054.14025"
Highway vehicle-miles traveled (millions),West Virginia,2021,"16,079.27494"
Highway vehicle-miles traveled (millions),West Virginia,2024,"17,213.7615"
Highway vehicle-miles traveled (millions),West Virginia,2017,"19,072.33545"
Highway vehicle-miles traveled (millions),West Virginia,2019,"19,076.55966"
Highway vehicle-miles traveled (millions),West Virginia,2010,"19,203.03357"
Highway vehicle-miles traveled (millions),West Virginia,2018,"19,447.32321"
Highway vehicle-miles traveled (millions),West Virginia,2016,"19,539"
Highway vehicle-miles traveled (millions),West Virginia,2015,"19,826.64297"
Highway vehicle-miles traveled (millions),Wisconsin,2020,"57,599.94105"
Highway vehicle-miles traveled (millions),Wisconsin,2010,"59,420.26643"
Highway vehicle-miles traveled (millions),Wisconsin,2015,"62,073.36822"
Highway vehicle-miles traveled (millions),Wisconsin,2016,"64,046"
Highway vehicle-miles traveled (millions),Wisconsin,2021,"64,983.27947"
Highway vehicle-miles traveled (millions),Wisconsin,2017,"65,323.70927"
Highway vehicle-miles traveled (millions),Wisconsin,2018,"65,885.43495"
Highway vehicle-miles traveled (millions),Wisconsin,2022,"66,166.68089"
Highway vehicle-miles traveled (millions),Wisconsin,2019,"66,347.62385"
Highway vehicle-miles traveled (millions),Wisconsin,2023,"67,248.39772"
Highway vehicle-miles traveled (millions),Wisconsin,2024,"69,225.77084"
Highway vehicle-miles traveled (millions),Wyoming,2016,"9,323"
Highway vehicle-miles traveled (millions),Wyoming,2022,"9,324.38529"
Highway vehicle-miles traveled (millions),Wyoming,2010,"9,362.789824"
Highway vehicle-miles traveled (millions),Wyoming,2023,"9,518.85871"
Highway vehicle-miles traveled (millions),Wyoming,2015,"9,597.036265"
Highway vehicle-miles traveled (millions),Wyoming,2024,"9,719.59531"
Highway vehicle-miles traveled (millions),Wyoming,2017,"9,784.665268"
Highway vehicle-miles traveled (millions),Wyoming,2020,"9,800.31981"
Highway vehicle-miles traveled (millions),Wyoming,2019,"10,207.60565"
Highway vehicle-miles traveled (millions),Wyoming,2018,"10,438.44261"
Highway vehicle-miles traveled (millions),Wyoming,2021,"11,096.52015"
Highway use of gasoline (thousand gallons),United States,2020,"117,251,028"
Highway use of gasoline (thousand gallons),United States,2022,"127,182,516"
Highway use of gasoline (thousand gallons),United States,2021,"128,909,697"
Highway use of gasoline (thousand gallons),United States,2023,"131,686,456"
Highway use of gasoline (thousand gallons),United States,2015,"132,242,542"
Highway use of gasoline (thousand gallons),United States,2010,"133,725,262"
Highway use of gasoline (thousand gallons),United States,2017,"135,300,642"
Highway use of gasoline (thousand gallons),United States,2018,"135,336,713"
Highway use of gasoline (thousand gallons),United States,2016,"135,559,291"
Highway use of gasoline (thousand gallons),United States,2019,"136,075,824"
Highway use of gasoline (thousand gallons),Alabama,2015,"2,504,176"
Highway use of gasoline (thousand gallons),Alabama,2018,"2,540,902"
Highway use of gasoline (thousand gallons),Alabama,2017,"2,550,741"
Highway use of gasoline (thousand gallons),Alabama,2016,"2,580,392"
Highway use of gasoline (thousand gallons),Alabama,2010,"2,595,316"
Highway use of gasoline (thousand gallons),Alabama,2019,"2,659,652"
Highway use of gasoline (thousand gallons),Alabama,2020,"2,702,225"
Highway use of gasoline (thousand gallons),Alabama,2022,"3,022,118"
Highway use of gasoline (thousand gallons),Alabama,2023,"3,055,405"
Highway use of gasoline (thousand gallons),Alabama,2021,"3,072,895"
Highway use of gasoline (thousand gallons),Alaska,2020,"211,646"
Highway use of gasoline (thousand gallons),Alaska,2022,"230,167"
Highway use of gasoline (thousand gallons),Alaska,2023,"232,816"
Highway use of gasoline (thousand gallons),Alaska,2021,"233,350"
Highway use of gasoline (thousand gallons),Alaska,2019,"242,562"
Highway use of gasoline (thousand gallons),Alaska,2015,"243,380"
Highway use of gasoline (thousand gallons),Alaska,2018,"244,389"
Highway use of gasoline (thousand gallons),Alaska,2017,"247,425"
Highway use of gasoline (thousand gallons),Alaska,2016,"253,416"
Highway use of gasoline (thousand gallons),Alaska,2010,"265,549"
Highway use of gasoline (thousand gallons),Arizona,2020,"2,511,812"
Highway use of gasoline (thousand gallons),Arizona,2010,"2,585,987"
Highway use of gasoline (thousand gallons),Arizona,2015,"2,606,360"
Highway use of gasoline (thousand gallons),Arizona,2016,"2,716,868"
Highway use of gasoline (thousand gallons),Arizona,2017,"2,732,137"
Highway use of gasoline (thousand gallons),Arizona,2022,"2,739,682"
Highway use of gasoline (thousand gallons),Arizona,2018,"2,783,217"
Highway use of gasoline (thousand gallons),Arizona,2021,"2,788,875"
Highway use of gasoline (thousand gallons),Arizona,2023,"2,824,556"
Highway use of gasoline (thousand gallons),Arizona,2019,"2,831,627"
Highway use of gasoline (thousand gallons),Arkansas,2015,"1,320,737"
Highway use of gasoline (thousand gallons),Arkansas,2020,"1,326,814"
Highway use of gasoline (thousand gallons),Arkansas,2022,"1,375,440"
Highway use of gasoline (thousand gallons),Arkansas,2018,"1,379,415"
Highway use of gasoline (thousand gallons),Arkansas,2017,"1,408,054"
Highway use of gasoline (thousand gallons),Arkansas,2010,"1,408,255"
Highway use of gasoline (thousand gallons),Arkansas,2016,"1,412,534"
Highway use of gasoline (thousand gallons),Arkansas,2021,"1,417,358"
Highway use of gasoline (thousand gallons),Arkansas,2019,"1,431,471"
Highway use of gasoline (thousand gallons),Arkansas,2023,"1,439,151"
Highway use of gasoline (thousand gallons),California,2020,"11,487,227"
Highway use of gasoline (thousand gallons),California,2022,"12,516,732"
Highway use of gasoline (thousand gallons),California,2023,"12,568,763"
Highway use of gasoline (thousand gallons),California,2021,"12,812,146"
Highway use of gasoline (thousand gallons),California,2015,"14,188,342"
Highway use of gasoline (thousand gallons),California,2019,"14,432,583"
Highway use of gasoline (thousand gallons),California,2018,"14,536,101"
Highway use of gasoline (thousand gallons),California,2016,"14,540,213"
Highway use of gasoline (thousand gallons),California,2010,"14,555,037"
Highway use of gasoline (thousand gallons),California,2017,"14,613,569"
Highway use of gasoline (thousand gallons),Colorado,2020,"1,921,601"
Highway use of gasoline (thousand gallons),Colorado,2010,"2,093,404"
Highway use of gasoline (thousand gallons),Colorado,2015,"2,107,254"
Highway use of gasoline (thousand gallons),Colorado,2021,"2,156,344"
Highway use of gasoline (thousand gallons),Colorado,2017,"2,196,347"
Highway use of gasoline (thousand gallons),Colorado,2018,"2,210,977"
Highway use of gasoline (thousand gallons),Colorado,2016,"2,217,141"
Highway use of gasoline (thousand gallons),Colorado,2023,"2,220,694"
Highway use of gasoline (thousand gallons),Colorado,2019,"2,270,649"
Highway use of gasoline (thousand gallons),Colorado,2022,"2,383,076"
Highway use of gasoline (thousand gallons),Connecticut,2020,"1,192,564"
Highway use of gasoline (thousand gallons),Connecticut,2021,"1,310,187"
Highway use of gasoline (thousand gallons),Connecticut,2023,"1,369,033"
Highway use of gasoline (thousand gallons),Connecticut,2022,"1,398,623"
Highway use of gasoline (thousand gallons),Connecticut,2015,"1,405,870"
Highway use of gasoline (thousand gallons),Connecticut,2017,"1,434,972"
Highway use of gasoline (thousand gallons),Connecticut,2019,"1,437,444"
Highway use of gasoline (thousand gallons),Connecticut,2016,"1,441,862"
Highway use of gasoline (thousand gallons),Connecticut,2018,"1,442,689"
Highway use of gasoline (thousand gallons),Connecticut,2010,"1,459,754"
Highway use of gasoline (thousand gallons),Delaware,2010,"425,326"
Highway use of gasoline (thousand gallons),Delaware,2020,"429,937"
Highway use of gasoline (thousand gallons),Delaware,2015,"434,287"
Highway use of gasoline (thousand gallons),Delaware,2022,"452,587"
Highway use of gasoline (thousand gallons),Delaware,2021,"463,301"
Highway use of gasoline (thousand gallons),Delaware,2017,"466,810"
Highway use of gasoline (thousand gallons),Delaware,2023,"479,495"
Highway use of gasoline (thousand gallons),Delaware,2018,"485,874"
Highway use of gasoline (thousand gallons),Delaware,2019,"522,552"
Highway use of gasoline (thousand gallons),Delaware,2016,"523,442"
Highway use of gasoline (thousand gallons),District of Columbia,2022,"93,781"
Highway use of gasoline (thousand gallons),District of Columbia,2020,"93,883"
Highway use of gasoline (thousand gallons),District of Columbia,2023,"98,301"
Highway use of gasoline (thousand gallons),District of Columbia,2017,"99,509"
Highway use of gasoline (thousand gallons),District of Columbia,2021,"99,660"
Highway use of gasoline (thousand gallons),District of Columbia,2010,"103,082"
Highway use of gasoline (thousand gallons),District of Columbia,2015,"106,690"
Highway use of gasoline (thousand gallons),District of Columbia,2019,"113,256"
Highway use of gasoline (thousand gallons),District of Columbia,2016,"114,843"
Highway use of gasoline (thousand gallons),District of Columbia,2018,"206,199"
Highway use of gasoline (thousand gallons),Florida,2020,"7,473,496"
Highway use of gasoline (thousand gallons),Florida,2010,"7,893,177"
Highway use of gasoline (thousand gallons),Florida,2015,"8,037,700"
Highway use of gasoline (thousand gallons),Florida,2016,"8,206,142"
Highway use of gasoline (thousand gallons),Florida,2021,"8,252,295"
Highway use of gasoline (thousand gallons),Florida,2022,"8,351,796"
Highway use of gasoline (thousand gallons),Florida,2017,"8,392,520"
Highway use of gasoline (thousand gallons),Florida,2018,"8,539,389"
Highway use of gasoline (thousand gallons),Florida,2019,"8,586,669"
Highway use of gasoline (thousand gallons),Florida,2023,"8,815,419"
Highway use of gasoline (thousand gallons),Georgia,2022,"4,373,769"
Highway use of gasoline (thousand gallons),Georgia,2020,"4,403,166"
Highway use of gasoline (thousand gallons),Georgia,2021,"4,531,818"
Highway use of gasoline (thousand gallons),Georgia,2016,"4,587,799"
Highway use of gasoline (thousand gallons),Georgia,2015,"4,709,948"
Highway use of gasoline (thousand gallons),Georgia,2019,"4,743,377"
Highway use of gasoline (thousand gallons),Georgia,2010,"4,796,734"
Highway use of gasoline (thousand gallons),Georgia,2018,"4,798,630"
Highway use of gasoline (thousand gallons),Georgia,2017,"4,812,597"
Highway use of gasoline (thousand gallons),Georgia,2023,"4,927,994"
Highway use of gasoline (thousand gallons),Hawaii,2020,"335,260"
Highway use of gasoline (thousand gallons),Hawaii,2022,"385,688"
Highway use of gasoline (thousand gallons),Hawaii,2021,"388,680"
Highway use of gasoline (thousand gallons),Hawaii,2023,"396,314"
Highway use of gasoline (thousand gallons),Hawaii,2010,"409,601"
Highway use of gasoline (thousand gallons),Hawaii,2015,"429,113"
Highway use of gasoline (thousand gallons),Hawaii,2018,"431,109"
Highway use of gasoline (thousand gallons),Hawaii,2019,"436,711"
Highway use of gasoline (thousand gallons),Hawaii,2017,"441,219"
Highway use of gasoline (thousand gallons),Hawaii,2016,"444,048"
Highway use of gasoline (thousand gallons),Idaho,2010,"657,282"
Highway use of gasoline (thousand gallons),Idaho,2015,"673,253"
Highway use of gasoline (thousand gallons),Idaho,2018,"688,307"
Highway use of gasoline (thousand gallons),Idaho,2020,"707,918"
Highway use of gasoline (thousand gallons),Idaho,2016,"717,347"
Highway use of gasoline (thousand gallons),Idaho,2017,"733,892"
Highway use of gasoline (thousand gallons),Idaho,2019,"734,046"
Highway use of gasoline (thousand gallons),Idaho,2022,"739,309"
Highway use of gasoline (thousand gallons),Idaho,2021,"758,838"
Highway use of gasoline (thousand gallons),Idaho,2023,"776,137"
Highway use of gasoline (thousand gallons),Illinois,2020,"3,662,554"
Highway use of gasoline (thousand gallons),Illinois,2022,"3,892,024"
Highway use of gasoline (thousand gallons),Illinois,2023,"3,990,995"
Highway use of gasoline (thousand gallons),Illinois,2021,"3,993,039"
Highway use of gasoline (thousand gallons),Illinois,2019,"4,454,984"
Highway use of gasoline (thousand gallons),Illinois,2018,"4,564,577"
Highway use of gasoline (thousand gallons),Illinois,2017,"4,613,983"
Highway use of gasoline (thousand gallons),Illinois,2016,"4,645,051"
Highway use of gasoline (thousand gallons),Illinois,2010,"4,760,179"
Highway use of gasoline (thousand gallons),Illinois,2015,"4,850,518"
Highway use of gasoline (thousand gallons),Indiana,2020,"2,698,260"
Highway use of gasoline (thousand gallons),Indiana,2022,"2,872,476"
Highway use of gasoline (thousand gallons),Indiana,2023,"2,923,734"
Highway use of gasoline (thousand gallons),Indiana,2019,"2,934,667"
Highway use of gasoline (thousand gallons),Indiana,2021,"2,964,920"
Highway use of gasoline (thousand gallons),Indiana,2018,"2,971,529"
Highway use of gasoline (thousand gallons),Indiana,2015,"2,999,321"
Highway use of gasoline (thousand gallons),Indiana,2010,"3,040,895"
Highway use of gasoline (thousand gallons),Indiana,2017,"3,044,745"
Highway use of gasoline (thousand gallons),Indiana,2016,"3,046,109"
Highway use of gasoline (thousand gallons),Iowa,2020,"1,309,964"
Highway use of gasoline (thousand gallons),Iowa,2022,"1,443,681"
Highway use of gasoline (thousand gallons),Iowa,2023,"1,465,252"
Highway use of gasoline (thousand gallons),Iowa,2021,"1,471,486"
Highway use of gasoline (thousand gallons),Iowa,2018,"1,483,052"
Highway use of gasoline (thousand gallons),Iowa,2015,"1,486,300"
Highway use of gasoline (thousand gallons),Iowa,2019,"1,486,910"
Highway use of gasoline (thousand gallons),Iowa,2017,"1,497,134"
Highway use of gasoline (thousand gallons),Iowa,2010,"1,544,035"
Highway use of gasoline (thousand gallons),Iowa,2016,"1,649,512"
Highway use of gasoline (thousand gallons),Kansas,2022,"1,134,146"
Highway use of gasoline (thousand gallons),Kansas,2020,"1,179,982"
Highway use of gasoline (thousand gallons),Kansas,2015,"1,194,249"
Highway use of gasoline (thousand gallons),Kansas,2021,"1,202,904"
Highway use of gasoline (thousand gallons),Kansas,2018,"1,205,658"
Highway use of gasoline (thousand gallons),Kansas,2023,"1,225,019"
Highway use of gasoline (thousand gallons),Kansas,2017,"1,227,362"
Highway use of gasoline (thousand gallons),Kansas,2019,"1,284,250"
Highway use of gasoline (thousand gallons),Kansas,2016,"1,287,766"
Highway use of gasoline (thousand gallons),Kansas,2010,"1,296,822"
Highway use of gasoline (thousand gallons),Kentucky,2020,"1,922,559"
Highway use of gasoline (thousand gallons),Kentucky,2022,"2,049,300"
Highway use of gasoline (thousand gallons),Kentucky,2015,"2,067,021"
Highway use of gasoline (thousand gallons),Kentucky,2021,"2,074,053"
Highway use of gasoline (thousand gallons),Kentucky,2023,"2,115,530"
Highway use of gasoline (thousand gallons),Kentucky,2017,"2,125,246"
Highway use of gasoline (thousand gallons),Kentucky,2018,"2,130,436"
Highway use of gasoline (thousand gallons),Kentucky,2016,"2,134,147"
Highway use of gasoline (thousand gallons),Kentucky,2019,"2,146,204"
Highway use of gasoline (thousand gallons),Kentucky,2010,"2,168,790"
Highway use of gasoline (thousand gallons),Louisiana,2020,"1,827,355"
Highway use of gasoline (thousand gallons),Louisiana,2022,"1,991,520"
Highway use of gasoline (thousand gallons),Louisiana,2018,"2,037,250"
Highway use of gasoline (thousand gallons),Louisiana,2017,"2,046,902"
Highway use of gasoline (thousand gallons),Louisiana,2021,"2,048,296"
Highway use of gasoline (thousand gallons),Louisiana,2023,"2,065,797"
Highway use of gasoline (thousand gallons),Louisiana,2019,"2,089,133"
Highway use of gasoline (thousand gallons),Louisiana,2016,"2,128,383"
Highway use of gasoline (thousand gallons),Louisiana,2015,"2,179,194"
Highway use of gasoline (thousand gallons),Louisiana,2010,"2,216,089"
Highway use of gasoline (thousand gallons),Maine,2020,"535,245"
Highway use of gasoline (thousand gallons),Maine,2022,"571,868"
Highway use of gasoline (thousand gallons),Maine,2018,"593,253"
Highway use of gasoline (thousand gallons),Maine,2019,"593,253"
Highway use of gasoline (thousand gallons),Maine,2017,"597,724"
Highway use of gasoline (thousand gallons),Maine,2021,"599,699"
Highway use of gasoline (thousand gallons),Maine,2010,"654,826"
Highway use of gasoline (thousand gallons),Maine,2023,"662,197"
Highway use of gasoline (thousand gallons),Maine,2015,"721,666"
Highway use of gasoline (thousand gallons),Maine,2016,"742,407"
Highway use of gasoline (thousand gallons),Maryland,2020,"2,054,135"
Highway use of gasoline (thousand gallons),Maryland,2022,"2,144,064"
Highway use of gasoline (thousand gallons),Maryland,2021,"2,364,826"
Highway use of gasoline (thousand gallons),Maryland,2023,"2,381,871"
Highway use of gasoline (thousand gallons),Maryland,2018,"2,587,123"
Highway use of gasoline (thousand gallons),Maryland,2017,"2,599,399"
Highway use of gasoline (thousand gallons),Maryland,2019,"2,602,302"
Highway use of gasoline (thousand gallons),Maryland,2010,"2,621,571"
Highway use of gasoline (thousand gallons),Maryland,2016,"2,630,070"
Highway use of gasoline (thousand gallons),Maryland,2015,"2,711,766"
Highway use of gasoline (thousand gallons),Massachusetts,2020,"2,109,170"
Highway use of gasoline (thousand gallons),Massachusetts,2022,"2,351,681"
Highway use of gasoline (thousand gallons),Massachusetts,2021,"2,378,583"
Highway use of gasoline (thousand gallons),Massachusetts,2023,"2,413,634"
Highway use of gasoline (thousand gallons),Massachusetts,2019,"2,658,600"
Highway use of gasoline (thousand gallons),Massachusetts,2017,"2,666,514"
Highway use of gasoline (thousand gallons),Massachusetts,2015,"2,669,169"
Highway use of gasoline (thousand gallons),Massachusetts,2018,"2,685,219"
Highway use of gasoline (thousand gallons),Massachusetts,2016,"2,715,141"
Highway use of gasoline (thousand gallons),Massachusetts,2010,"2,733,501"
Highway use of gasoline (thousand gallons),Michigan,2020,"3,705,704"
Highway use of gasoline (thousand gallons),Michigan,2022,"3,974,732"
Highway use of gasoline (thousand gallons),Michigan,2023,"4,054,410"
Highway use of gasoline (thousand gallons),Michigan,2021,"4,057,935"
Highway use of gasoline (thousand gallons),Michigan,2015,"4,352,982"
Highway use of gasoline (thousand gallons),Michigan,2019,"4,381,530"
Highway use of gasoline (thousand gallons),Michigan,2017,"4,396,083"
Highway use of gasoline (thousand gallons),Michigan,2018,"4,412,120"
Highway use of gasoline (thousand gallons),Michigan,2010,"4,426,295"
Highway use of gasoline (thousand gallons),Michigan,2016,"4,449,726"
Highway use of gasoline (thousand gallons),Minnesota,2020,"2,069,451"
Highway use of gasoline (thousand gallons),Minnesota,2022,"2,160,050"
Highway use of gasoline (thousand gallons),Minnesota,2021,"2,195,047"
Highway use of gasoline (thousand gallons),Minnesota,2023,"2,255,399"
Highway use of gasoline (thousand gallons),Minnesota,2015,"2,323,199"
Highway use of gasoline (thousand gallons),Minnesota,2018,"2,401,845"
Highway use of gasoline (thousand gallons),Minnesota,2019,"2,411,151"
Highway use of gasoline (thousand gallons),Minnesota,2010,"2,452,821"
Highway use of gasoline (thousand gallons),Minnesota,2016,"2,456,967"
Highway use of gasoline (thousand gallons),Minnesota,2017,"2,459,991"
Highway use of gasoline (thousand gallons),Mississippi,2020,"1,563,457"
Highway use of gasoline (thousand gallons),Mississippi,2018,"1,595,322"
Highway use of gasoline (thousand gallons),Mississippi,2015,"1,607,148"
Highway use of gasoline (thousand gallons),Mississippi,2010,"1,607,584"
Highway use of gasoline (thousand gallons),Mississippi,2022,"1,612,581"
Highway use of gasoline (thousand gallons),Mississippi,2023,"1,640,427"
Highway use of gasoline (thousand gallons),Mississippi,2017,"1,641,711"
Highway use of gasoline (thousand gallons),Mississippi,2021,"1,658,342"
Highway use of gasoline (thousand gallons),Mississippi,2019,"1,668,608"
Highway use of gasoline (thousand gallons),Mississippi,2016,"1,681,282"
Highway use of gasoline (thousand gallons),Missouri,2020,"2,760,594"
Highway use of gasoline (thousand gallons),Missouri,2015,"2,954,269"
Highway use of gasoline (thousand gallons),Missouri,2019,"2,993,792"
Highway use of gasoline (thousand gallons),Missouri,2021,"3,000,824"
Highway use of gasoline (thousand gallons),Missouri,2018,"3,000,963"
Highway use of gasoline (thousand gallons),Missouri,2022,"3,011,143"
Highway use of gasoline (thousand gallons),Missouri,2017,"3,034,445"
Highway use of gasoline (thousand gallons),Missouri,2016,"3,069,337"
Highway use of gasoline (thousand gallons),Missouri,2023,"3,129,955"
Highway use of gasoline (thousand gallons),Missouri,2010,"3,140,943"
Highway use of gasoline (thousand gallons),Montana,2020,"452,601"
Highway use of gasoline (thousand gallons),Montana,2010,"480,645"
Highway use of gasoline (thousand gallons),Montana,2018,"480,769"
Highway use of gasoline (thousand gallons),Montana,2015,"483,132"
Highway use of gasoline (thousand gallons),Montana,2019,"485,015"
Highway use of gasoline (thousand gallons),Montana,2023,"486,453"
Highway use of gasoline (thousand gallons),Montana,2017,"490,292"
Highway use of gasoline (thousand gallons),Montana,2022,"491,008"
Highway use of gasoline (thousand gallons),Montana,2016,"491,288"
Highway use of gasoline (thousand gallons),Montana,2021,"505,462"
Highway use of gasoline (thousand gallons),Nebraska,2020,"789,410"
Highway use of gasoline (thousand gallons),Nebraska,2010,"819,892"
Highway use of gasoline (thousand gallons),Nebraska,2015,"822,527"
Highway use of gasoline (thousand gallons),Nebraska,2022,"837,746"
Highway use of gasoline (thousand gallons),Nebraska,2017,"846,622.2864"
Highway use of gasoline (thousand gallons),Nebraska,2016,"849,515"
Highway use of gasoline (thousand gallons),Nebraska,2021,"852,286"
Highway use of gasoline (thousand gallons),Nebraska,2018,"852,503"
Highway use of gasoline (thousand gallons),Nebraska,2023,"855,206"
Highway use of gasoline (thousand gallons),Nebraska,2019,"863,333"
Highway use of gasoline (thousand gallons),Nevada,2020,"984,968"
Highway use of gasoline (thousand gallons),Nevada,2015,"1,068,058"
Highway use of gasoline (thousand gallons),Nevada,2010,"1,072,826"
Highway use of gasoline (thousand gallons),Nevada,2023,"1,099,726"
Highway use of gasoline (thousand gallons),Nevada,2016,"1,100,905"
Highway use of gasoline (thousand gallons),Nevada,2021,"1,122,654"
Highway use of gasoline (thousand gallons),Nevada,2017,"1,131,419.192"
Highway use of gasoline (thousand gallons),Nevada,2022,"1,141,818"
Highway use of gasoline (thousand gallons),Nevada,2018,"1,155,595"
Highway use of gasoline (thousand gallons),Nevada,2019,"1,157,367"
Highway use of gasoline (thousand gallons),New Hampshire,2020,"568,811"
Highway use of gasoline (thousand gallons),New Hampshire,2021,"618,597"
Highway use of gasoline (thousand gallons),New Hampshire,2022,"622,802"
Highway use of gasoline (thousand gallons),New Hampshire,2023,"646,193"
Highway use of gasoline (thousand gallons),New Hampshire,2015,"656,859"
Highway use of gasoline (thousand gallons),New Hampshire,2016,"660,553"
Highway use of gasoline (thousand gallons),New Hampshire,2017,"665,381"
Highway use of gasoline (thousand gallons),New Hampshire,2018,"671,676"
Highway use of gasoline (thousand gallons),New Hampshire,2019,"677,217"
Highway use of gasoline (thousand gallons),New Hampshire,2010,"698,888"
Highway use of gasoline (thousand gallons),New Jersey,2020,"2,971,094"
Highway use of gasoline (thousand gallons),New Jersey,2022,"3,290,829"
Highway use of gasoline (thousand gallons),New Jersey,2021,"3,339,170"
Highway use of gasoline (thousand gallons),New Jersey,2023,"3,489,648"
Highway use of gasoline (thousand gallons),New Jersey,2018,"3,762,582"
Highway use of gasoline (thousand gallons),New Jersey,2019,"3,770,732"
Highway use of gasoline (thousand gallons),New Jersey,2017,"3,854,317"
Highway use of gasoline (thousand gallons),New Jersey,2015,"3,928,510"
Highway use of gasoline (thousand gallons),New Jersey,2016,"4,049,271"
Highway use of gasoline (thousand gallons),New Jersey,2010,"4,101,585"
Highway use of gasoline (thousand gallons),New Mexico,2020,"856,035"
Highway use of gasoline (thousand gallons),New Mexico,2010,"889,353"
Highway use of gasoline (thousand gallons),New Mexico,2016,"904,361"
Highway use of gasoline (thousand gallons),New Mexico,2022,"906,266"
Highway use of gasoline (thousand gallons),New Mexico,2015,"913,565"
Highway use of gasoline (thousand gallons),New Mexico,2023,"914,043"
Highway use of gasoline (thousand gallons),New Mexico,2018,"951,802"
Highway use of gasoline (thousand gallons),New Mexico,2019,"959,431"
Highway use of gasoline (thousand gallons),New Mexico,2017,"962,755"
Highway use of gasoline (thousand gallons),New Mexico,2021,"976,561"
Highway use of gasoline (thousand gallons),New York,2020,"4,426,844"
Highway use of gasoline (thousand gallons),New York,2022,"4,762,162"
Highway use of gasoline (thousand gallons),New York,2021,"4,927,046"
Highway use of gasoline (thousand gallons),New York,2023,"4,983,152"
Highway use of gasoline (thousand gallons),New York,2015,"5,090,797"
Highway use of gasoline (thousand gallons),New York,2016,"5,321,827"
Highway use of gasoline (thousand gallons),New York,2017,"5,388,111"
Highway use of gasoline (thousand gallons),New York,2019,"5,401,064"
Highway use of gasoline (thousand gallons),New York,2018,"5,444,276"
Highway use of gasoline (thousand gallons),New York,2010,"5,619,055"
Highway use of gasoline (thousand gallons),North Carolina,2020,"4,121,821"
Highway use of gasoline (thousand gallons),North Carolina,2015,"4,252,094"
Highway use of gasoline (thousand gallons),North Carolina,2010,"4,343,660"
Highway use of gasoline (thousand gallons),North Carolina,2016,"4,481,824"
Highway use of gasoline (thousand gallons),North Carolina,2017,"4,490,206"
Highway use of gasoline (thousand gallons),North Carolina,2018,"4,492,129"
Highway use of gasoline (thousand gallons),North Carolina,2022,"4,535,028"
Highway use of gasoline (thousand gallons),North Carolina,2021,"4,576,016"
Highway use of gasoline (thousand gallons),North Carolina,2019,"4,633,090"
Highway use of gasoline (thousand gallons),North Carolina,2023,"4,769,648"
Highway use of gasoline (thousand gallons),North Dakota,2020,"362,481"
Highway use of gasoline (thousand gallons),North Dakota,2010,"371,038"
Highway use of gasoline (thousand gallons),North Dakota,2022,"372,510"
Highway use of gasoline (thousand gallons),North Dakota,2021,"384,647"
Highway use of gasoline (thousand gallons),North Dakota,2023,"392,252"
Highway use of gasoline (thousand gallons),North Dakota,2017,"402,672"
Highway use of gasoline (thousand gallons),North Dakota,2018,"404,051"
Highway use of gasoline (thousand gallons),North Dakota,2016,"408,811"
Highway use of gasoline (thousand gallons),North Dakota,2019,"411,541"
Highway use of gasoline (thousand gallons),North Dakota,2015,"433,114"
Highway use of gasoline (thousand gallons),Ohio,2020,"4,137,129"
Highway use of gasoline (thousand gallons),Ohio,2022,"4,361,302"
Highway use of gasoline (thousand gallons),Ohio,2021,"4,464,007"
Highway use of gasoline (thousand gallons),Ohio,2023,"4,492,513"
