Measure Names,State,Year,Measure Values
Person trips (millions),Vermont,2017,"5,520"
Person miles (millions),Vermont,2017,"49,380"
Persons (thousands),Virginia,2001,"48,528"
Person trips (millions),Virginia,2001,"71,922"
Person miles (millions),Virginia,2001,"882,696"
Persons (thousands),Virginia,2009,"43,476"
Person trips (millions),Virginia,2009,"58,530"
Person miles (millions),Virginia,2009,"580,236"
Persons (thousands),Virginia,2017,"50,064"
Person trips (millions),Virginia,2017,"62,298"
Person miles (millions),Virginia,2017,"747,702"
Persons (thousands),Washington,2001,"42,558"
Person trips (millions),Washington,2001,"60,384"
Person miles (millions),Washington,2001,"534,072"
Persons (thousands),Washington,2009,"36,630"
Person trips (millions),Washington,2009,"48,600"
Person miles (millions),Washington,2009,"495,012"
Persons (thousands),Washington,2017,"38,682"
Person trips (millions),Washington,2017,"47,286"
Person miles (millions),Washington,2017,"570,978"
Persons (thousands),West Virginia,2009,"10,272"
Person trips (millions),West Virginia,2009,"12,750"
Person miles (millions),West Virginia,2009,"136,482"
Persons (thousands),West Virginia,2017,"11,802"
Person trips (millions),West Virginia,2017,"13,830"
Person miles (millions),West Virginia,2017,"108,636"
Persons (thousands),Wisconsin,2001,"31,656"
Person trips (millions),Wisconsin,2001,"44,742"
Person miles (millions),Wisconsin,2001,"454,494"
Persons (thousands),Wisconsin,2009,"31,596"
Person trips (millions),Wisconsin,2009,"43,380"
Person miles (millions),Wisconsin,2009,"420,864"
Persons (thousands),Wisconsin,2017,"32,550"
Person trips (millions),Wisconsin,2017,"40,902"
Person miles (millions),Wisconsin,2017,"441,222"
Persons (thousands),Wyoming,2009,"2,964"
Person trips (millions),Wyoming,2009,"4,266"
Person miles (millions),Wyoming,2009,"43,830"
Persons (thousands),Wyoming,2017,"3,318"
Person trips (millions),Wyoming,2017,"4,566"
Person miles (millions),Wyoming,2017,"48,870"
