Series,Unit,Year,Value
Total energy consumed by the electric power sector,Billion BTUs,1980,"40,439"
Total energy consumed by the electric power sector,Billion BTUs,1990,"47,118"
Total energy consumed by the electric power sector,Billion BTUs,2000,"54,003"
Total energy consumed by the electric power sector,Billion BTUs,2010,"55,607"
Total energy consumed by the electric power sector,Billion BTUs,2015,"51,214"
Total energy consumed by the electric power sector,Billion BTUs,2016,"48,186"
Total energy consumed by the electric power sector,Billion BTUs,2017,"48,747"
Total energy consumed by the electric power sector,Billion BTUs,2018,"46,210"
Total energy consumed by the electric power sector,Billion BTUs,2019,"46,074"
Total energy consumed by the electric power sector,Billion BTUs,2020,"46,037"
Total energy consumed by the electric power sector,Billion BTUs,2021,"47,379"
Total energy consumed by the electric power sector,Billion BTUs,2022,"48,482"
Total energy consumed by the electric power sector,Billion BTUs,2023,"49,393"
Total energy consumed by the industrial sector,Billion BTUs,1960,"16,472"
Total energy consumed by the industrial sector,Billion BTUs,1970,"50,729"
Total energy consumed by the industrial sector,Billion BTUs,1980,"136,331"
Total energy consumed by the industrial sector,Billion BTUs,1990,"306,147"
Total energy consumed by the industrial sector,Billion BTUs,2000,"400,347"
Total energy consumed by the industrial sector,Billion BTUs,2010,"324,204"
Total energy consumed by the industrial sector,Billion BTUs,2015,"328,407"
Total energy consumed by the industrial sector,Billion BTUs,2016,"327,147"
Total energy consumed by the industrial sector,Billion BTUs,2017,"331,033"
Total energy consumed by the industrial sector,Billion BTUs,2018,"331,478"
Total energy consumed by the industrial sector,Billion BTUs,2019,"333,595"
Total energy consumed by the industrial sector,Billion BTUs,2020,"362,057"
Total energy consumed by the industrial sector,Billion BTUs,2021,"386,830"
Total energy consumed by the industrial sector,Billion BTUs,2022,"429,873"
Total energy consumed by the industrial sector,Billion BTUs,2023,"437,648"
Total energy consumed by the residential sector,Billion BTUs,1960,"9,100"
Total energy consumed by the residential sector,Billion BTUs,1970,"23,650"
Total energy consumed by the residential sector,Billion BTUs,1980,"32,997"
Total energy consumed by the residential sector,Billion BTUs,1990,"44,750"
Total energy consumed by the residential sector,Billion BTUs,2000,"48,404"
Total energy consumed by the residential sector,Billion BTUs,2010,"49,180"
Total energy consumed by the residential sector,Billion BTUs,2015,"49,764"
Total energy consumed by the residential sector,Billion BTUs,2016,"47,703"
Total energy consumed by the residential sector,Billion BTUs,2017,"50,014"
Total energy consumed by the residential sector,Billion BTUs,2018,"46,335"
Total energy consumed by the residential sector,Billion BTUs,2019,"45,576"
Total energy consumed by the residential sector,Billion BTUs,2020,"46,845"
Total energy consumed by the residential sector,Billion BTUs,2021,"48,550"
Total energy consumed by the residential sector,Billion BTUs,2022,"46,863"
Total energy consumed by the residential sector,Billion BTUs,2023,"48,754"
Total energy consumption,Billion BTUs,1960,"59,303"
Total energy consumption,Billion BTUs,1970,"179,470"
Total energy consumption,Billion BTUs,1980,"291,985"
Total energy consumption,Billion BTUs,1990,"577,270"
Total energy consumption,Billion BTUs,2000,"735,260"
Total energy consumption,Billion BTUs,2010,"629,323"
Total energy consumption,Billion BTUs,2015,"603,471"
Total energy consumption,Billion BTUs,2016,"582,349"
Total energy consumption,Billion BTUs,2017,"590,557"
Total energy consumption,Billion BTUs,2018,"593,777"
Total energy consumption,Billion BTUs,2019,"595,801"
Total energy consumption,Billion BTUs,2020,"626,207"
Total energy consumption,Billion BTUs,2021,"684,975"
Total energy consumption,Billion BTUs,2022,"730,277"
Total energy consumption,Billion BTUs,2023,"746,978"
Total energy consumption per capita,Million BTUs,1960,259
Total energy consumption per capita,Million BTUs,1970,590.4
Total energy consumption per capita,Million BTUs,1980,720.4
Total energy consumption per capita,Million BTUs,1990,"1,043.3"
Total energy consumption per capita,Million BTUs,2000,"1,170.9"
Total energy consumption per capita,Million BTUs,2010,881.4
Total energy consumption per capita,Million BTUs,2015,817.2
Total energy consumption per capita,Million BTUs,2016,784.2
Total energy consumption per capita,Million BTUs,2017,797
Total energy consumption per capita,Million BTUs,2018,806.1
Total energy consumption per capita,Million BTUs,2019,812.2
Total energy consumption per capita,Million BTUs,2020,854.3
Total energy consumption per capita,Million BTUs,2021,932.7
Total energy consumption per capita,Million BTUs,2022,994.3
Total energy consumption per capita,Million BTUs,2023,"1,014.2"
Total energy consumption per capita in the transportation sector,Million BTUs,1960,118.5
Total energy consumption per capita in the transportation sector,Million BTUs,1970,251.3
Total energy consumption per capita in the transportation sector,Million BTUs,1980,221.6
Total energy consumption per capita in the transportation sector,Million BTUs,1990,305.3
Total energy consumption per capita in the transportation sector,Million BTUs,2000,349.9
Total energy consumption per capita in the transportation sector,Million BTUs,2010,270.7
Total energy consumption per capita in the transportation sector,Million BTUs,2015,220.7
Total energy consumption per capita in the transportation sector,Million BTUs,2016,206.9
Total energy consumption per capita in the transportation sector,Million BTUs,2017,210.4
Total energy consumption per capita in the transportation sector,Million BTUs,2018,222.4
Total energy consumption per capita in the transportation sector,Million BTUs,2019,224.4
Total energy consumption per capita in the transportation sector,Million BTUs,2020,225
Total energy consumption per capita in the transportation sector,Million BTUs,2021,263.9
Total energy consumption per capita in the transportation sector,Million BTUs,2022,270.6
Total energy consumption per capita in the transportation sector,Million BTUs,2023,276.4
Total energy consumption per capita in the commercial sector,Million BTUs,1960,28.8
Total energy consumption per capita in the commercial sector,Million BTUs,1970,94.4
Total energy consumption per capita in the commercial sector,Million BTUs,1980,81.1
Total energy consumption per capita in the commercial sector,Million BTUs,1990,103.9
Total energy consumption per capita in the commercial sector,Million BTUs,2000,106.3
Total energy consumption per capita in the commercial sector,Million BTUs,2010,87.8
Total energy consumption per capita in the commercial sector,Million BTUs,2015,84.4
Total energy consumption per capita in the commercial sector,Million BTUs,2016,72.6
Total energy consumption per capita in the commercial sector,Million BTUs,2017,72.3
Total energy consumption per capita in the commercial sector,Million BTUs,2018,70.7
Total energy consumption per capita in the commercial sector,Million BTUs,2019,70.9
Total energy consumption per capita in the commercial sector,Million BTUs,2020,71.5
Total energy consumption per capita in the commercial sector,Million BTUs,2021,75.9
Total energy consumption per capita in the commercial sector,Million BTUs,2022,74.6
Total energy consumption per capita in the commercial sector,Million BTUs,2023,77.4
Total energy consumption per capita in the industrial sector,Million BTUs,1960,71.9
Total energy consumption per capita in the industrial sector,Million BTUs,1970,166.9
Total energy consumption per capita in the industrial sector,Million BTUs,1980,336.4
Total energy consumption per capita in the industrial sector,Million BTUs,1990,553.3
Total energy consumption per capita in the industrial sector,Million BTUs,2000,637.5
Total energy consumption per capita in the industrial sector,Million BTUs,2010,454.1
